file,game_code,revision,table,offset,size,count,stride,aligned_candidate_reference_count,base_reference_count,interior_reference_count,unique_target_offsets
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,1,abilityNames,0x0024FC8C,1014,78,13,4,4,0,1
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,1,moves,0x00250C50,3195,355,9,143,137,6,3
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,1,speciesInfo,0x002547D0,10712,412,26,60,56,4,4
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,1,evolutionTable,0x002597CC,16480,412,40,12,0,12,7
Pokemon - Leaf Green Version (Europe) (Rev 1).gba,BPGE,1,items,0x003DAED4,16500,375,44,17,15,2,3
Pokemon - Blattgruene Edition (Germany).gba,BPGD,0,monSpeciesNames,0x00245D8C,4532,412,11,41,40,1,2
Pokemon - Blattgruene Edition (Germany).gba,BPGD,0,moveNames,0x00246F40,4615,355,13,48,32,16,17
Pokemon - Blattgruene Edition (Germany).gba,BPGD,0,abilityDescriptions,0x0024FA08,312,78,4,3,2,1,2
Pokemon - Blattgruene Edition (Germany).gba,BPGD,0,abilityNames,0x0024FB40,1014,78,13,4,4,0,1
Pokemon - Blattgruene Edition (Germany).gba,BPGD,0,moves,0x00250B04,3195,355,9,144,137,7,4
Pokemon - Blattgruene Edition (Germany).gba,BPGD,0,speciesInfo,0x00254684,10712,412,26,60,56,4,4
Pokemon - Blattgruene Edition (Germany).gba,BPGD,0,evolutionTable,0x00259680,16480,412,40,10,0,10,5
Pokemon - Blattgruene Edition (Germany).gba,BPGD,0,items,0x003DA354,16500,375,44,18,15,3,3
Pokemon - Version Vert Feuille (France).gba,BPGF,0,monSpeciesNames,0x002402C8,4532,412,11,46,40,6,5
Pokemon - Version Vert Feuille (France).gba,BPGF,0,moveNames,0x0024147C,4615,355,13,50,32,18,18
Pokemon - Version Vert Feuille (France).gba,BPGF,0,abilityDescriptions,0x00249F34,312,78,4,2,2,0,1
Pokemon - Version Vert Feuille (France).gba,BPGF,0,abilityNames,0x0024A06C,1014,78,13,4,4,0,1
Pokemon - Version Vert Feuille (France).gba,BPGF,0,moves,0x0024B030,3195,355,9,142,137,5,2
Pokemon - Version Vert Feuille (France).gba,BPGF,0,speciesInfo,0x0024EBB0,10712,412,26,62,56,6,6
Pokemon - Version Vert Feuille (France).gba,BPGF,0,evolutionTable,0x00253BAC,16480,412,40,12,0,12,7
Pokemon - Version Vert Feuille (France).gba,BPGF,0,items,0x003D3160,16500,375,44,21,15,6,6
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0,monSpeciesNames,0x0023EF60,4532,412,11,47,40,7,7
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0,moveNames,0x00240114,4615,355,13,52,32,20,19
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0,abilityDescriptions,0x00248BC4,312,78,4,2,2,0,1
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0,abilityNames,0x00248CFC,1014,78,13,4,4,0,1
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0,moves,0x00249CC0,3195,355,9,143,137,6,3
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0,speciesInfo,0x0024D840,10712,412,26,61,56,5,5
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0,evolutionTable,0x0025283C,16480,412,40,12,0,12,7
Pokemon - Versione Verde Foglia (Italy).gba,BPGI,0,items,0x003D1D24,16500,375,44,19,15,4,4
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,0,monSpeciesNames,0x00241628,4532,412,11,44,40,4,5
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,0,moveNames,0x002427DC,4615,355,13,51,32,19,20
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,0,abilityDescriptions,0x0024B2AC,312,78,4,2,2,0,1
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,0,abilityNames,0x0024B3E4,1014,78,13,4,4,0,1
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,0,moves,0x0024C3A8,3195,355,9,142,137,5,2
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,0,speciesInfo,0x0024FF28,10712,412,26,64,56,8,8
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,0,evolutionTable,0x00254F24,16480,412,40,9,0,9,4
Pokemon - Edicion Verde Hoja (Spain).gba,BPGS,0,items,0x003D4D8C,16500,375,44,23,15,8,8
